unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area,nome_geosampa,endereco_geosampa,bairro_geosampa,cep_geosampa,feature_ids_geosampa,numero_feicoes,classificacao_preliminar,status_validacao
cemiterio_particular_candidato,priv_geosampa_15,Cemitério Parque Cemitério Gethsêmani Anhanguera,cemiterio_particular_candidato,,,,,,250-500m,250,500,1001656.99,53,47,6,160,41.72,88.11,570.5,537.0,715.0,227.0,1015.0,571.0,652.48,PARQUE CEMITÉRIO GETHSÊMANI ANHANGUERA,"RODOVIA ANHANGUERA, KM 23,4 S/N",VILA SULINA,05276-000,equipamento_cemiterio.160005,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_15,Cemitério Parque Cemitério Gethsêmani Anhanguera,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3177854.17,164,156,8,506,41.97,87.59,530.0,511.25,594.75,236.0,976.0,529.5,580.87,PARQUE CEMITÉRIO GETHSÊMANI ANHANGUERA,"RODOVIA ANHANGUERA, KM 23,4 S/N",VILA SULINA,05276-000,equipamento_cemiterio.160005,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_16,Cemitério Parque da Cantareira,cemiterio_particular_candidato,,,,,,0-250m,0,250,385001.84,9,8,1,10,87.25,92.17,320.0,320.0,320.0,320.0,320.0,320.0,320.0,PARQUE DA CANTAREIRA,"RUA ROBERTO BALDIN, 5005",JARDIM CORISCO,02364-801,equipamento_cemiterio.160016,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_16,Cemitério Parque da Cantareira,cemiterio_particular_candidato,,,,,,250-500m,250,500,775224.4,25,22,3,55,94.59,88.39,320.0,320.0,320.0,320.0,320.0,320.0,320.0,PARQUE DA CANTAREIRA,"RUA ROBERTO BALDIN, 5005",JARDIM CORISCO,02364-801,equipamento_cemiterio.160016,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_16,Cemitério Parque da Cantareira,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2726403.82,104,89,15,252,68.92,86.53,320.0,320.0,320.0,128.0,624.0,320.0,323.07,PARQUE DA CANTAREIRA,"RUA ROBERTO BALDIN, 5005",JARDIM CORISCO,02364-801,equipamento_cemiterio.160016,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_17,Cemitério Parque dos Girassóis,cemiterio_particular_candidato,,,,,,0-250m,0,250,746256.53,25,20,5,49,65.79,91.55,320.0,320.0,320.0,320.0,320.0,320.0,320.0,PARQUE DOS GIRASSÓIS,"AV. SADAMU INOUE, 6061",PARELHEIROS,04866-180,equipamento_cemiterio.160004,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_17,Cemitério Parque dos Girassóis,cemiterio_particular_candidato,,,,,,250-500m,250,500,1110337.98,36,27,9,76,32.61,94.71,320.0,320.0,320.0,309.0,320.0,320.0,319.94,PARQUE DOS GIRASSÓIS,"AV. SADAMU INOUE, 6061",PARELHEIROS,04866-180,equipamento_cemiterio.160004,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_17,Cemitério Parque dos Girassóis,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3373160.78,87,70,17,229,31.92,93.17,320.0,320.0,320.0,262.0,728.0,320.0,328.29,PARQUE DOS GIRASSÓIS,"AV. SADAMU INOUE, 6061",PARELHEIROS,04866-180,equipamento_cemiterio.160004,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_18,Cemitério Parque dos Pinheiros,cemiterio_particular_candidato,,,,,,0-250m,0,250,883561.79,55,41,14,106,42.16,76.72,601.0,492.0,607.0,320.0,860.0,606.0,513.98,PARQUE DOS PINHEIROS,"RUA USHIKICHI KAMIYA, 71",VILA NOVA GALVÃO,02323-000,equipamento_cemiterio.160006,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_18,Cemitério Parque dos Pinheiros,cemiterio_particular_candidato,,,,,,250-500m,250,500,1271664.54,89,78,11,266,61.72,55.25,601.0,492.0,605.0,320.0,1368.0,601.0,501.2,PARQUE DOS PINHEIROS,"RUA USHIKICHI KAMIYA, 71",VILA NOVA GALVÃO,02323-000,equipamento_cemiterio.160006,1,particular_associativo_religioso_ou_nao_concessionado,pendente
