CD_DIST,NM_DIST,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_NU,NM_NU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,AREA_KM2,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009
355030825,Cidade Tiradentes,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"14,9128325",194177,76047,76040,7,"2,9","0,1536",67533,1135,7372
355030826,Consolação,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"3,7869479",53144,35777,35674,103,"1,9","0,1378",27483,3165,5026
355030827,Cursino,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,0600523",103171,46155,46142,13,"2,6","0,1123",39354,595,6193
355030828,Ermelino Matarazzo,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,4158011",112333,45510,45498,12,"2,8","0,1325",40348,398,4752
355030829,Freguesia do Ó,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"11,0381923",137240,59796,59769,27,"2,7","0,1533",51347,753,7669
355030830,Grajaú,3,Sudeste,35,São Paulo,3550308,São Paulo,3550308080,Jardim Novo Horizonte,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"92,5780487",384873,154205,154175,30,"2,9","0,0963",133451,2049,18675
355030831,Guaianases,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,8913167",109316,43934,43919,15,"2,8","0,2040",38429,201,5289
355030832,Moema,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,1055847",81899,46035,46006,29,"2,2","0,1664",37523,3141,5342
355030833,Iguatemi,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"19,5759897",149700,59935,59924,11,"2,9","0,1615",51301,810,7813
355030834,Ipiranga,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"11,0264566",116271,53804,53672,132,"2,5","0,1099",46322,577,6773
355030835,Itaim Bibi,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"10,0306465",101452,60889,60785,104,"2,1","0,1954",47979,4523,8283
355030836,Itaim Paulista,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,2171454",205295,78141,78106,35,"2,9","0,1876",70881,524,6701
355030837,Itaquera,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"14,6991723",210960,85467,85444,23,"2,8","0,1811",75049,749,9646
355030838,Jabaquara,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"14,0353876",214982,96288,96239,49,"2,6","0,1123",82880,1546,11813
355030839,Jaçanã,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"7,4739324",87329,34705,34682,23,"2,9","0,1533",30463,441,3778
355030840,Jaguara,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"4,5331049",24730,10783,10782,1,"2,7","0,1425",9214,55,1513
355030841,Jaguaré,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"6,5532733",55382,23617,23608,9,"2,6","0,1262",21072,381,2155
355030842,Jaraguá,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,355030800061,Aldeia Indígena YY Porã,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"28,0042578",211617,84799,84772,27,"2,8","0,1420",74522,1274,8976
355030843,Jardim Ângela,3,Sudeste,35,São Paulo,3550308,São Paulo,3550308081,Riviera Paulista,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"36,7382815",311432,125669,125662,7,"2,8","0,0992",109967,1390,14305
355030844,Jardim Helena,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,1334937",129409,48496,48493,3,"2,9","0,1867",44238,280,3975
355030845,Jardim Paulista,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"6,2522532",81859,52762,52685,77,"2,0","0,1770",39982,4832,7871
